region_id,short_tip_percent,med_tip_percent,long_tip_percent,max_tip_percent,max_bin,is_statistically_significant,has_rejected_null_hyp,DOLocationID,Borough,Zone,service_zone
195,0.062466031230184904,0.08622488900702782,0.08659930055547477,0.08659930055547477,long,False,False,195,Brooklyn,Red Hook,Boro Zone
17,0.03941563119095403,0.04041628852108389,0.024043204839041536,0.04041628852108389,medium,False,False,17,Brooklyn,Bedford,Boro Zone
222,0.0031930605637372354,0.004894096391839643,0.010415108461865592,0.010415108461865592,long,False,False,222,Brooklyn,Starrett City,Boro Zone
223,0.1165409692519478,inf,0.13000359380289328,inf,medium,False,False,223,Queens,Steinway,Boro Zone
86,0.0045631155688081685,0.002195594714530808,0.001512588537718041,0.0045631155688081685,short,False,False,86,Queens,Far Rockaway,Boro Zone
28,0.032066422685494346,0.08651278487997471,0.09324675174110043,0.09324675174110043,long,True,True,28,Queens,Briarwood/Jamaica Hills,Boro Zone
23,0.022098499361430397,0.020188990910164267,0.004853567843590609,0.022098499361430397,short,False,False,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone
219,0.03927282216729997,0.09138894007670213,0.09578352153943659,0.09578352153943659,long,True,True,219,Queens,Springfield Gardens South,Boro Zone
38,0.018561084702598072,0.010500714842579285,0.025888239066948496,0.025888239066948496,long,True,True,38,Queens,Cambria Heights,Boro Zone
69,0.007808265439958295,0.012167481771272613,0.010350518551131954,0.012167481771272613,medium,False,False,69,Bronx,East Concourse/Concourse Village,Boro Zone
39,0.003184436430898937,0.015011232785441494,0.011804733530434082,0.015011232785441494,medium,False,False,39,Brooklyn,Canarsie,Boro Zone
171,0.011103457921426332,0.007488845829673961,0.0,0.011103457921426332,short,False,False,171,Queens,Murray Hill-Queens,Boro Zone
35,0.001389664458553968,0.003260853822860421,0.009467067674361894,0.009467067674361894,long,False,False,35,Brooklyn,Brownsville,Boro Zone
150,0.012544860067907204,0.02288283082106861,0.009280989013626527,0.02288283082106861,medium,False,False,150,Brooklyn,Manhattan Beach,Boro Zone
136,0.015077676524718937,0.007735836425560715,0.011336651583710408,0.015077676524718937,short,False,False,136,Bronx,Kingsbridge Heights,Boro Zone
259,0.044017344402065964,0.0017057922091010837,0.005734824445419852,0.044017344402065964,short,False,False,259,Bronx,Woodlawn/Wakefield,Boro Zone
139,0.04066166126479619,0.0034717689569101497,0.02746055480584912,0.04066166126479619,short,False,False,139,Queens,Laurelton,Boro Zone
70,inf,0.20059184957426082,0.11298344316635749,inf,short,True,True,70,Queens,East Elmhurst,Boro Zone
22,0.011379377682611061,0.009330923672198689,0.0,0.011379377682611061,short,False,False,22,Brooklyn,Bensonhurst West,Boro Zone
197,0.07447773811822364,0.003453500359049016,0.018358072813342098,0.07447773811822364,short,True,True,197,Queens,Richmond Hill,Boro Zone
193,0.08545494217927507,0.047184951275853336,0.02769508172002509,0.08545494217927507,short,True,True,193,Queens,Queensbridge/Ravenswood,Boro Zone
134,0.06606574106534886,0.0889324665673706,0.14010955993687596,0.14010955993687596,long,True,True,134,Queens,Kew Gardens,Boro Zone
77,0.002742809847820448,0.004269211680940289,0.0,0.004269211680940289,medium,False,False,77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone
200,0.03888800928789212,0.01997567625776092,0.034718240402435575,0.03888800928789212,short,False,False,200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone
205,0.006570754440908684,0.0028044631290440464,0.006648332228273546,0.006648332228273546,long,False,False,205,Queens,Saint Albans,Boro Zone
213,0.016714067842378767,0.012207357999889059,0.014278644878709886,0.016714067842378767,short,False,False,213,Bronx,Soundview/Castle Hill,Boro Zone
121,0.026753705557081824,0.022244337035483893,0.038043117150935266,0.038043117150935266,long,False,False,121,Queens,Hillcrest/Pomonok,Boro Zone
21,0.007910145814594729,0.0038372544318824595,0.04115566292352837,0.04115566292352837,long,False,False,21,Brooklyn,Bensonhurst East,Boro Zone
19,0.1401918691421168,0.02198425358707192,0.024789184987925345,0.1401918691421168,short,False,False,19,Queens,Bellerose,Boro Zone
191,0.005591101977928827,0.006162404131698471,0.032524793105194315,0.032524793105194315,long,True,True,191,Queens,Queens Village,Boro Zone
227,0.01592032632124902,0.02306586491297988,0.010755643717057787,0.02306586491297988,medium,False,False,227,Brooklyn,Sunset Park East,Boro Zone
85,0.007224060966912654,0.015888652674531854,0.002817274412573171,0.015888652674531854,medium,False,False,85,Brooklyn,Erasmus,Boro Zone
215,0.018299059222457125,0.08647527861913276,0.058063580244736075,0.08647527861913276,medium,True,True,215,Queens,South Jamaica,Boro Zone
247,0.06083942770999227,0.04568286779185793,0.07825709934921116,0.07825709934921116,long,False,False,247,Bronx,West Concourse,Boro Zone
169,0.006856709035678164,0.0053359523173447795,0.0062061131763733995,0.006856709035678164,short,False,False,169,Bronx,Mount Hope,Boro Zone
208,0.003976188449104325,0.02073136093502253,0.05438203594612291,0.05438203594612291,long,False,False,208,Bronx,Schuylerville/Edgewater Park,Boro Zone
92,0.06704930559572003,0.038537832354968306,0.05882800965414088,0.06704930559572003,short,False,False,92,Queens,Flushing,Boro Zone
218,0.014137274471454186,0.004029444548178942,0.009749398370037816,0.014137274471454186,short,False,False,218,Queens,Springfield Gardens North,Boro Zone
165,0.005718240957088518,0.008337053869747145,0.00755073051948052,0.008337053869747145,medium,False,False,165,Brooklyn,Midwood,Boro Zone
108,0.010576138608704131,0.005207864734413574,0.007550902587485113,0.010576138608704131,short,False,False,108,Brooklyn,Gravesend,Boro Zone
47,0.007455974330742664,0.004740231017974233,0.00033489202832938494,0.007455974330742664,short,False,False,47,Bronx,Claremont/Bathgate,Boro Zone
78,0.005652658847007127,0.005591285049475763,0.003948537130245202,0.005652658847007127,short,True,True,78,Bronx,East Tremont,Boro Zone
18,0.009869015258535365,0.002543448183566533,0.001510072181450273,0.009869015258535365,short,False,False,18,Bronx,Bedford Park,Boro Zone
101,0.03782886936261322,0.018004922864353082,0.00898991784914115,0.03782886936261322,short,False,False,101,Queens,Glen Oaks,Boro Zone
201,0.012177443456889127,0.000272180684425549,0.005703432590794336,0.012177443456889127,short,False,False,201,Queens,Rockaway Park,Boro Zone
174,0.04095596171046357,0.0068472102937317154,0.003923116263331652,0.04095596171046357,short,False,False,174,Bronx,Norwood,Boro Zone
182,0.0045082811932844165,0.003753951522904566,0.0,0.0045082811932844165,short,False,False,182,Bronx,Parkchester,Boro Zone
3,0.008828916261303669,0.005499216759591646,0.0,0.008828916261303669,short,False,False,3,Bronx,Allerton/Pelham Gardens,Boro Zone
159,0.02769037946543291,0.010886355310919272,0.002631578947368421,0.02769037946543291,short,False,False,159,Bronx,Melrose South,Boro Zone
11,0.006769838383735841,0.022367179401747837,0.01364473983998771,0.022367179401747837,medium,False,False,11,Brooklyn,Bath Beach,Boro Zone
248,0.005816703443640408,0.00340074083158284,0.013147668393782381,0.013147668393782381,long,False,False,248,Bronx,West Farms/Bronx River,Boro Zone
